year;month;Route;Deaths;attempted;;;;;;;;;;
2016;January;west;5;497;;;;;;;;;;
2016;January;east;275;73.196;;;;;;;;;;
2016;January;central;90;5.712;;;;;;;;;;
2016;February;west;2;224;;;;;;;;;;
2016;February;east;46;65.859;;;;;;;;;;
2016;February;central;7;3.966;;;;;;;;;;
2016;March  ;west;21;372;;;;;;;;;;
2016;March  ;east;45;35.574;;;;;;;;;;
2016;March  ;central;258;12.278;;;;;;;;;;
2016;April;west;9;460;;;;;;;;;;
2016;April;east;10;5.377;;;;;;;;;;
2016;April;central;611;10.663;;;;;;;;;;
2016;May;west;48;623;;;;;;;;;;
2016;May;east;0;2.830;;;;;;;;;;
2016;May;central;1130;24.891;;;;;;;;;;
2016;June;west;1;716;;;;;;;;;;
2016;June;east;0;2.092;;;;;;;;;;
2016;June;central;388;24.600;;;;;;;;;;
2016;July;west;11;469;;;;;;;;;;
2016;July;east;7;2.808;;;;;;;;;;
2016;July;central;208;24.538;;;;;;;;;;
2016;August;west;19;953;;;;;;;;;;
2016;August;east;3;5.169;;;;;;;;;;
2016;August;central;40;21.665;;;;;;;;;;
2016;September ;west;0;1.248;;;;;;;;;;
2016;September ;east;27;6.559;;;;;;;;;;
2016;September ;central;341;18.740;;;;;;;;;;
2016;October;west;4;1.114;;;;;;;;;;
2016;October;east;2;5.600;;;;;;;;;;
2016;October;central;431;29.478;;;;;;;;;;
2016;November ;west;1;855;;;;;;;;;;
2016;November ;east;14;3.931;;;;;;;;;;
2016;November ;central;703;15.950;;;;;;;;;;
2016;December;west;7;759;;;;;;;;;;
2016;December;east;5;2.528;;;;;;;;;;
2016;December;central;374;8.973;;;;;;;;;;
2017;January;west;28;2.481;;;;;;;;;;
2017;January;east;1;1.964;;;;;;;;;;
2017;January;central;225;5.479;;;;;;;;;;
2017;February;west;13;1.422;;;;;;;;;;
2017;February;east;1;1.876;;;;;;;;;;
2017;February;central;217;10.171;;;;;;;;;;
2017;March  ;west;7;1.349;;;;;;;;;;
2017;March  ;east;11;3.041;;;;;;;;;;
2017;March  ;central;300;12.731;;;;;;;;;;
2017;April;west;9;909;;;;;;;;;;
2017;April;east;24;3.041;;;;;;;;;;
2017;April;central;280;14.028;;;;;;;;;;
2017;May;west;2;947;;;;;;;;;;
2017;May;east;0;3.485;;;;;;;;;;
2017;May;central;621;27.388;;;;;;;;;;
2017;June;west;10;2.362;;;;;;;;;;
2017;June;east;0;3.486;;;;;;;;;;
2017;June;central;529;26.486;;;;;;;;;;
2017;July;west;56;2.609;;;;;;;;;;
2017;July;east;8;3.878;;;;;;;;;;
2017;July;central;68;13.210;;;;;;;;;;
2017;August;west;8;2.537;;;;;;;;;;
2017;August;east;0;6.072;;;;;;;;;;
2017;August;central;143;6.463;;;;;;;;;;
2017;September ;west;12;2.206;;;;;;;;;;
2017;September ;east;1;7.991;;;;;;;;;;
2017;September ;central;102;9.271;;;;;;;;;;
2017;October;west;9;3.532;;;;;;;;;;
2017;October;east;0;7.092;;;;;;;;;;
2017;October;central;166;8.114;;;;;;;;;;
2017;November ;west;54;5.134;;;;;;;;166;;
2017;November ;east;15;5.471;;;;;;;;;;
2017;November ;central;193;7.588;;;;;;;;;;
2017;December;west;16;3.188;;;;;;;;;;
2017;December;east;1;4.110;;;;;;;;;;
2017;December;central;9;3.324;;;;;;;;;;
2018;January;west;28;2.190;;;;;;;;;;
2018;January;east;0;3.458;;;;;;;;;;
2018;January;central;215;6.534;;;;;;;;;;
2018;February;west;75;1.558;;;;;;;;;;
2018;February;east;1;2.471;;;;;;;;;;
2018;February;central;121;2.003;;;;;;;;;;
2018;March  ;west;25;1.309;;;;;;;;;;
2018;March  ;east;19;4.221;;;;;;;;;;
2018;March  ;central;23;2.397;;;;;;;;;;
2018;April;west;89;1.745;;;;;;;;;;
2018;April;east;0;5.631;;;;;;;;;;
2018;April;central;20;5.393;;;;;;;;;;
2018;May;west;21;3.942;;;;;;;;;;
2018;May;east;16;6.287;;;;;;;;;;
2018;May;central;11;6.464;;;;;;;;;;
2018;June;west;55;7.078;;;;;;;;;;
2018;June;east;10;4.401;;;;;;;;;;
2018;June;central;564;8.320;;;;;;;;;;
2018;July;west;15;8.922;;;;;;;;;;
2018;July;east;50;4.965;;;;;;;;;;
2018;July;central;157;4.368;;;;;;;;;;
2018;August;west;68;7.048;;;;;;;;;;
2018;August;east;10;5.756;;;;;;;;;;
2018;August;central;19;2.844;;;;;;;;;;
2018;September ;west;99;8.335;;;;;;;;;;
2018;September ;east;12;7.707;;;;;;;;;;
2018;September ;central;130;2.134;;;;;;;;;;
2018;October;west;144;11.376;;;;;;;;;;
2018;October;east;38;8.082;;;;;;;;;;
2018;October;central;7;1.714;;;;;;;;;;
2018;November ;west;114;5.714;;;;;;;;;;
2018;November ;east;11;3.917;;;;;;;;;;
2018;November ;central;24;2.143;;;;;;;;;;
2018;December;west;78;5.612;;;;;;;;;;
2018;December;east;7;6.213;;;;;;;;;;
2018;December;central;23;1.334;;;;;;;;;;
2019;January;west;62;1.341;;;;;;;;;;
2019;January;east;2;3.407;;;;;;;;;;
2019;January;central;152;395;;;;;;;;;;
2019;February;west;19;1.003;;;;;;;;;;
2019;February;east;1;4.465;;;;;;;;;;
2019;February;central;6;965;;;;;;;;;;
2019;March  ;west;53;1.422;;;;;;;;;;
2019;March  ;east;11;5.606;;;;;;;;;;
2019;March  ;central;56;550;;;;;;;;;;
2019;April;west;7;1.834;;;;;;;;;;
2019;April;east;5;6.279;;;;;;;;;;
2019;April;central;52;2.510;;;;;;;;;;
2019;May;west;25;2.771;;;;;;;;;;
2019;May;east;18;7.806;;;;;;;;;;
2019;May;central;65;3.177;;;;;;;;;;
2019;June;west;35;3.341;;;;;;;;;;
2019;June;east;19;11.538;;;;;;;;;;
2019;June;central;27;2.522;;;;;;;;;;
2019;July;west;4;2.450;;;;;;;;;;
2019;July;east;1;17.121;;;;;;;;;;
2019;July;central;301;3.471;;;;;;;;;;
2019;August;west;6;3.437;;;;;;;;;;
2019;August;east;0;22.680;;;;;;;;;;
2019;August;central;167;4.267;;;;;;;;;;
2019;September ;west;109;3.843;;;;;;;;;;
2019;September ;east;9;22.092;;;;;;;;;;
2019;September ;central;19;3.717;;;;;;;;;;
2019;October;west;3;2.139;;;;;;;;;;
2019;October;east;5;15.649;;;;;;;;;;
2019;October;central;91;2.852;;;;;;;;;;
2019;November ;west;100;2.146;;;;;;;;3;5;91
2019;November ;east;0;10.469;;;;;;;;;;
2019;November ;central;279;973;;;;;;;;;;
2019;December;west;129;0;;;;;;;;100;0;279
2019;December;east;0;0;;;;;;;;;;
2019;December;central;47;0;;;;;;;;;;
;;;;;;;;;;;;129;0;47
